id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
15720,Report,master,,,15719,6385.15512.15713.15719.15720.,813,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15724,Treasury Services,master,,,15512,6385.15512.15724.,953,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],17
15728,Cash Management,master,,,15724,6385.15512.15724.15728.,222,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15730,Demand Forecast,master,,,15713,6385.15512.15713.15730.,382,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1
15732,Inbound/Receive,master,,,15713,6385.15512.15713.15732.,503,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],4
15736,Pick/Pack/Ship,master,,,15732,6385.15512.15713.15732.15736.,689,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15738,Contract Management,master,,,15640,6385.15512.15616.15640.15738.,298,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15740,Supplier Relationship Management,master,,,15616,6385.15512.15616.15740.,924,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15744,Monitor,master,,,15740,6385.15512.15616.15740.15744.,607,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15746,Lot Tracking & Traceability,master,,,15624,6385.15512.15616.15624.15746.,566,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15748,Demand Planning,master,,,15628,6385.15512.15616.15628.15748.,384,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15749,Forecasting,master,,,15748,6385.15512.15616.15628.15748.15749.,468,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15751,Monitor & Revise,master,,,15748,6385.15512.15616.15628.15748.15751.,609,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15753,Continuous Replenishment,master,,,15748,6385.15512.15616.15628.15748.15753.,297,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15755,Capacity Utilization,master,,,15634,6385.15512.15616.15628.15634.15755.,206,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15757,Destination Requirements,master,,,15634,6385.15512.15616.15628.15634.15757.,388,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
